Type,Trans Date,Post Date,Description,Amount
SALE,03/18/2015,03/19/2015,"PINSAS        51275881",-7.00
SALE,03/27/2015,03/29/2015,"TMS*JUGOFRESH SOUTH PO",-13.91
SALE,05/21/2015,05/22/2015,"CHIPOTLE 1762",-10.39
SALE,04/03/2015,04/05/2015,"JUNIUS PONDS T12456034",-10.28
SALE,04/06/2015,04/07/2015,"AT&T*BILL PAYMENT",-223.12
SALE,03/06/2015,03/09/2015,"SANDWICH QBANO",-8.00
SALE,03/31/2015,04/01/2015,"DEWITT SERVICE PLAZ 13",-4.25
SALE,06/08/2015,06/09/2015,"SQ *PHOENIX COFFEE COMPAN",-2.30
SALE,03/30/2015,03/31/2015,"2159 S GREEN",-19.48
SALE,03/27/2015,03/29/2015,"TMS*JUGOFRESH SOUTH PO",-18.19
SALE,03/28/2015,03/30/2015,"TMS*JUGOFRESH SOUTH PO",-28.36
SALE,04/14/2015,04/15/2015,"PICCADILLY ARTISAN YOGUR",-7.21
SALE,05/14/2015,05/15/2015,"SQ *PHOENIX COFFEE COMPAN",-2.20
SALE,05/18/2015,05/19/2015,"WHOLEFDS CTR 10199",-41.84
SALE,05/07/2015,05/08/2015,"USA*Priority Vending",-2.60
SALE,04/16/2015,04/19/2015,"ANN TAYLOR #354",-181.98
SALE,03/07/2015,03/09/2015,"BULA KAVA HOUSE ECOMME",-40.50
SALE,04/03/2015,04/05/2015,"WHOLEFDS CTR 10199",-188.83
SALE,04/04/2015,04/06/2015,"SIAM CAFE",-61.32
SALE,03/15/2015,03/17/2015,"UNITED      0162442406486",-5.60
SALE,04/07/2015,04/08/2015,"NWH PATIENT FINCL SERVCS",-384.48
SALE,04/01/2015,04/03/2015,"SHERATON BOSTON DINING",-5.19
PAYMENT,03/18/2015,03/18/2015,"Payment Thank You - Web",57.00
SALE,03/29/2015,03/31/2015,"AMERICAN AI 0010281792064",-25.00
SALE,03/30/2015,03/30/2015,"UBER TECHNOLOGIES INC",-4.82
SALE,03/28/2015,03/29/2015,"UBER",-4.60
SALE,03/29/2015,03/31/2015,"CLEVELAND HOPKINS AIRPORT",-65.00
RETURN,05/11/2015,05/11/2015,"1-800-FLOWERS.COM,INC.",36.19
SALE,03/17/2015,03/18/2015,"CVS/PHARMACY #03634",-3.33
SALE,04/01/2015,04/03/2015,"EXXONMOBIL    97376024",-24.86
SALE,04/12/2015,04/13/2015,"WHOLEFDS CTR 10199",-70.41
SALE,04/13/2015,04/15/2015,"CEDAR LEE THEATRE",-23.25
SALE,05/09/2015,05/10/2015,"CARA BAR",-47.50
SALE,03/25/2015,03/26/2015,"LA LOCANDA",-74.45
SALE,05/31/2015,06/02/2015,"STARBUCKS A   12591509",-12.50
SALE,03/25/2015,03/26/2015,"PURA VIDA SMOOTHIE BAR",-9.58
SALE,04/02/2015,04/03/2015,"CHIPOTLE 0079",-10.37
SALE,04/04/2015,04/05/2015,"PETSMART INC 2313",-22.67
SALE,04/24/2015,04/26/2015,"SQ *PHOENIX COFFEE COMPAN",-2.00
SALE,04/18/2015,04/19/2015,"WHOLEFDS CTR 10199",-92.80
SALE,04/30/2015,05/01/2015,"WHOLEFDS CTR 10199",-74.67
SALE,04/09/2015,04/10/2015,"CHIPOTLE 0079",-11.07
SALE,04/28/2015,04/29/2015,"USA*Priority Vending",-2.60
SALE,04/18/2015,04/19/2015,"CHIPOTLE 0079",-1.30
SALE,04/01/2015,04/02/2015,"GULF OIL 92038891",-11.10
SALE,03/18/2015,03/19/2015,"STARBUCKS #02265 CLEVELAN",-5.95
SALE,06/06/2015,06/08/2015,"CLEVELAND PARK PLACE",-61.25
SALE,06/02/2015,06/07/2015,"LEASING AUT.DEL SUR-BAVAR",-146.89
SALE,05/18/2015,05/19/2015,"VEGAN SWEET TOOTH",-16.00
SALE,04/14/2015,04/16/2015,"SHELL OIL 57424234003",-3.41
SALE,05/09/2015,05/10/2015,"NATIONWIDE/ALLIED INS",-332.82
SALE,03/27/2015,03/29/2015,"SMITH   WOLLEN00001016",-97.61
SALE,04/05/2015,04/07/2015,"CINEMARK THEATRES 283",-17.40
SALE,05/07/2015,05/08/2015,"PACIFIC EAST",-34.26
SALE,04/12/2015,04/13/2015,"SQ *PHOENIX COFFEE COMPAN",-2.30
SALE,05/12/2015,05/13/2015,"USA*Priority Vending",-2.60
SALE,04/21/2015,04/22/2015,"CHIPOTLE 1762",-10.91
SALE,04/16/2015,04/17/2015,"CODINGFORENTREPRENEURS",-25.00
SALE,06/07/2015,06/08/2015,"WHOLEFDS CTR 10199",-1.75
SALE,03/28/2015,03/29/2015,"DECO BIKE",-4.28
SALE,05/30/2015,06/01/2015,"NEW HEIGHTS GRILL",-3.00
SALE,05/29/2015,05/31/2015,"SQ *PHOENIX COFFEE COMPAN",-5.65
SALE,04/21/2015,04/22/2015,"SQ *ON THE RISE ARTISAN B",-16.50
SALE,04/13/2015,04/14/2015,"TREE COUNTRY BISTRO",-35.00
SALE,03/14/2015,03/15/2015,"NETFLIX.COM",-8.63
SALE,04/29/2015,04/30/2015,"SQ *PHOENIX COFFEE COMPAN",-2.00
SALE,06/07/2015,06/08/2015,"CVS/PHARMACY #07687",-23.08
SALE,05/22/2015,05/24/2015,"SQ *ON THE RISE ARTISAN B",-4.50
SALE,04/26/2015,04/27/2015,"WHOLEFDS CTR 10199",-89.91
SALE,03/16/2015,03/18/2015,"SHELL OIL 57424318004",-5.54
SALE,05/31/2015,06/01/2015,"HUDSON NEWS CLEVELAND",-6.30
SALE,04/29/2015,04/30/2015,"USA*Priority Vending",-1.60
SALE,05/28/2015,05/29/2015,"CLEVELAND MUSEUMOF ART",-8.00
SALE,04/15/2015,04/16/2015,"PINSAS        51275881",-7.00
SALE,05/16/2015,05/17/2015,"STARBUCKS #02265 CLEVELAN",-5.40
SALE,05/01/2015,05/03/2015,"CLEV HTS - UBILL UTILITIE",-45.82
SALE,03/22/2015,03/23/2015,"HOTWIRE-SALES FINAL",-176.93
SALE,05/23/2015,05/24/2015,"SQ *PHOENIX COFFEE COMPAN",-6.65
SALE,03/08/2015,03/09/2015,"TMS*JUGOFRESH SOUTH PO",-58.32
SALE,04/12/2015,04/14/2015,"JENIS SPLENDID ICE CRE",-8.65
SALE,03/29/2015,03/29/2015,"UBER TECHNOLOGIES INC",-3.24
SALE,05/22/2015,05/24/2015,"WHOLEFDS CTR 10199",-53.52
SALE,05/28/2015,05/31/2015,"NIGHTTOWN",-64.46
SALE,03/14/2015,03/15/2015,"CHOOLAAH INDIAN BB",-2.15
SALE,03/31/2015,04/01/2015,"SQ *PHOENIX COFFEE COMPAN",-8.90
SALE,04/27/2015,04/29/2015,"CINEMARK THEATRES 283",-24.50
SALE,05/27/2015,05/28/2015,"SQ *ON THE RISE ARTISAN B",-6.25
SALE,04/05/2015,04/07/2015,"CINEMARK THEATRES 283",-18.80
RETURN,04/29/2015,04/29/2015,"GROUPON INC",1198.00
SALE,04/14/2015,04/16/2015,"ANATOLIA CAFE",-25.00
SALE,03/16/2015,03/18/2015,"CLEV HTS - PARKING",-2.50
SALE,04/24/2015,04/26/2015,"TWC*TIME WRNR CABLE",-44.99
SALE,03/21/2015,03/22/2015,"ALADDINS EATERY",-34.78
SALE,06/06/2015,06/09/2015,"BE LIVE GRAND PUNTA CANA",-140.31
SALE,05/23/2015,05/24/2015,"WHOLEFDS CTR 10199",-63.91
SALE,04/30/2015,05/01/2015,"SQ *PHOENIX COFFEE COMPAN",-2.00
SALE,03/18/2015,03/19/2015,"WHOLEFDS CTR 10199",-36.85
SALE,03/29/2015,03/31/2015,"CLEVELAND PARK PLACE",-43.75
SALE,03/29/2015,03/31/2015,"STARBUCKS A DF20511739",-5.79
SALE,03/29/2015,03/31/2015,"PARADIES # 954     Q02",-3.71
SALE,06/01/2015,06/05/2015,"SKYPE.COM",-10.00
SALE,03/18/2015,03/19/2015,"USA*Priority Vending",-1.60
SALE,04/03/2015,04/05/2015,"SQ *PHOENIX COFFEE COMPAN",-5.00
SALE,04/22/2015,04/23/2015,"SQ *BROOKLYN STREET LOCAL",-10.80
SALE,05/26/2015,05/28/2015,"THE HOME DEPOT 3818",-187.21
SALE,04/04/2015,04/05/2015,"SQ *PHOENIX COFFEE COMPAN",-3.50
SALE,04/01/2015,04/03/2015,"CAO MEYER VIOLIN'S INC",-245.00
SALE,03/20/2015,03/23/2015,"EDDYS ON COVENTRY",-35.00
SALE,03/29/2015,03/30/2015,"TMS*JUGOFRESH SOUTH PO",-39.59
SALE,05/16/2015,05/18/2015,"LAF LYNDHURST",-5.00
